"ï»¿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
EK4G3BQS,journalArticle,2015,"Konstan, Joseph A.; Walker, J. D.; Brooks, D. Christopher; Brown, Keith; Ekstrand, Michael D.",Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC,ACM Trans. Comput.-Hum. Interact.,,1073-0516,10.1145/2728171,http://doi.acm.org/10.1145/2728171,,2015-04,9/13/16 16:07,9/13/16 16:07,9/3/16 20:38,10:1â€“10:23,,2,22,,,Teaching Recommender Systems at Large Scale,,,,,,,,,,,,ACM Digital Library,,,"<p>The goal of this research was&nbsp; to build a high quality graduate course on recommender system.<br />For the experimental design, this is pretest and posttest / online and face to face /no control pre-experimental design. No random assign, and the experiment design is with internal validity threats such as selection, maturation, selection and maturation interaction.</p> <p>Also, I am confused about the equation for authors to calculate the learning gains: <span style=""font-size: 16.000000pt; font-family: 'Arial'; font-weight: bold;"">(Post-test â€“ Pre-test / 100 â€“ Pre-test). It does not make sense to me all all. <br /></span></p>",,,,learning assessment; Massively Online Open Course (MOOC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FKFT39UA,book,2015,"Matsuda, Noboru; Furukawa, Tadanobu; Bier, Norman; Faloutsos, Christos",Machine Beats Experts: Automatic Discovery of Skill Models for Data-Driven Online Course Refinement,,,,,http://eric.ed.gov/?id=ED560513,"How can we automatically determine which skills must be mastered for the successful completion of an online course? Large-scale online courses (e.g., MOOCs) often contain a broad range of contents frequently intended to be a semester's worth of materials; this breadth often makes it difficult to articulate an accurate set of skills and knowledge (i.e., a skill model, or the QMatrix). We have developed an innovative method to discover skill models from the data of online courses. Our method assumes that online courses have a pre-defined skill map for which skills are associated with formative assessment items embedded throughout the online course. Our method carefully exploits correlations between various parts of student performance, as well as in the text of assessment items, to build a superior statistical model that even outperforms human experts. To evaluate our method, we compare our method with existing methods (LFA) and human engineered skill models on three Open Learning Initiative (OLI) courses at Carnegie Mellon University. The results show that (1) our method outperforms human-engineered skill models, (2) skill models discovered by our method are interpretable, and (3) our method is remarkably faster than existing methods. These results suggest that our method provides a significant contribution to the evidence-based, iterative refinement of online courses with a promising scalability. [For complete proceedings, see ED560503.]",2015-06,9/13/16 16:07,9/13/16 16:07,9/3/16 20:48,,,,,,,Machine Beats Experts,,,,,International Educational Data Mining Society,,en,,,,,ERIC,,,"<p>eEPIPHANY&nbsp;seems like an awesome model to help personalized learning. I tried to search applications impremented with this eEPIPHANY model but I could not find out. Alright, this paper said eEPIPHANY method is an automatically discover skill set from online course data, feedback, and student interaction data. I would love to investigate further about this eEPIPHANY model and its application.</p>",,http://eric.ed.gov/?id=ED560513,,Automation; Comparative Analysis; Correlation; data; Formative Evaluation; models; Online Courses; Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8VBA7WM,conferencePaper,2008,"Cortez, Paulo; Silva, Alice Maria GonÃ§alves",Using data mining to predict secondary school student performance,Proceedings of 5th Annual Future Business Technology Conference,978-90-77381-39-7,,,http://repositorium.sdum.uminho.pt/handle/1822/8024,"Although the educational level of the Portuguese population has improved in the last decades, the statistics keep Portugal at Europeâ€™s tail end due to its high student failure rates. In particular, lack of success in the core classes of Mathematics and the Portuguese language is extremely serious. On the other hand, the fields of Business Intelligence (BI)/Data Mining (DM), which aim at extracting high-level knowledge from raw data, offer interesting automated tools that can aid the education domain. The present work intends to approach student achievement in secondary education using BI/DM techniques. Recent real-world data (e.g. student grades, demographic, social and school related features) was collected by using school reports and questionnaires. The two core classes (i.e. Mathematics and Portuguese) were modeled under binary/five-level classification and regression tasks. Also, four DM models (i.e. Decision Trees, Random Forest, Neural Networks and Support Vector Machines) and three input selections (e.g. with and without previous grades) were tested. The results show that a good predictive accuracy can be achieved, provided that the first and/or second school period grades are available. Although student achievement is highly influenced by past evaluations, an explanatory analysis has shown that there are also other relevant features (e.g. number of absences, parentâ€™s job and education, alcohol consumption). As a direct outcome of this research, more efficient student prediction tools can be be developed, improving the quality of education and enhancing school resource management.",2008-04,9/13/16 16:07,9/13/16 16:07,9/4/16 1:23,,,,,,,,,,,,EUROSIS,"Porto, Spain",eng,openAccess,,,,repositorium.sdum.uminho.pt,,,<p>This is a complicated paper. I need more time to go through it. No comment could be provided at this time.</p>,,http://repositorium.sdum.uminho.pt/handle/1822/8024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th Annual Future Business Technology Conference,,,,,,,,,,,,,,,
IRE9HCJP,journalArticle,2008,"Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.",Developing a generalizable detector of when students game the system,User Modeling and User-Adapted Interaction,,"0924-1868, 1573-1391",10.1007/s11257-007-9045-6,http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6,"Some students, when working in interactive learning environments, attempt to â€œgame the systemâ€ù, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detectorâ€™s generalizability, and find that it transfers successfully to both new students and new tutor lessons.",8/1/08,9/13/16 16:07,9/13/16 16:19,1/16/15 16:33,287-314,,3,18,,User Model User-Adap Inter,,,,,,,,en,,,,,link.springer.com.ezp-prod1.hul.harvard.edu,,,"<p>From the technical perspective, this paper successfully proposes a model with gaming detector to predict the gaming behavior and validate.<br /><br />From the learning perspective, I do not really buy the idea of this cognitive tutors. It is boring and poor design in user interface. It is more important to improve the user experience other than forcing the kids to learn through cognitive tutor systems and collect data. It is not helpful to figure out how the kid gaming the system. And we should understand why the kids gaming, and focus on how to help them learn.</p>",,https://link.springer.com/article/10.1007/s11257-007-9045-6,,Behavior detection; Cognitive tutors; Education (general); Gaming the system; Generalizable models; Interactive learning environments; Latent response models; Machine learning; Management of Computing and Information Systems; Multimedia Information Systems; student modeling; User Interfaces and Human Computer Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K5NJBX8C,book,2015,"Zheng, Alice",Evaluating Machine Learning Models,,,,,http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page,"Data science today is a lot like the Wild West: thereâ€™s endless opportunity and excitement, but also a lot of chaos and confusion. If youâ€™re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...",2015-09,9/13/16 16:07,9/13/16 16:07,12/15/15 18:26,,,,,,,,,,,,O'Reily Media,"Sebastopol, CA",,,,,,,,,"<p>It goes further than what we have practiced in class. It talked about F1 score (I do not agree with this idea any way), NDCG. We have to keep an eye on the skewed dataset. In the end of the chapter, it recommend a R package: Metrics for evaluation metrics in machine learning.</p>",,http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHS6AFCM,videoRecording,2015,Educause,Why Is Measuring Learning So Difficult?,,,,,https://www.youtube.com/watch?v=_iv8A1pHNYA,Several higher education learning and assessment professionals discuss the difficulties of measuring learning.,8/17/15,9/13/16 16:07,9/13/16 16:07,1/17/16 18:50,,,,,,,,,,,,,,,,,,,YouTube,,,"<p>the measurement of learning behavior is always difficult. It involves complexity of the individual learning background, psychological structure, learning capabilities. It is unlikely we would see the big picture of learning from the behavior data, since the brain activities is such a black box. It is difficult to decode, and it is difficult to design a learning system to measure such a learning pattern as well.</p>",,,,Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning,,,,,,,,,,,,,,,,,,,,,470 seconds,,,,,,,,,,,,,,,,,,,,,,,,,
NUW4JR39,webpage,2014,"Groelmund, Garrett",RStudio Cheat Sheets,RStudio,,,,https://www.rstudio.com/resources/cheatsheets/,,8/1/14,9/13/16 16:07,9/13/16 16:07,1/19/16 21:17,,,,,,,,,,,,,,,,,,,,,,<p>I use it during the whole semester. This is a great simple first step for R learning.</p>,,http://shiny.rstudio.com/articles/rm-cheatsheet.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6ZIAUTQ,journalArticle,2010,"Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation",,1531-7714,,,"School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)",2010-05,9/13/16 16:07,9/13/16 16:07,9/24/14 19:31,,,7,15,,,Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students,,,,,,,en,,,,,ERIC,,,"<p>Impressive data. this paper provides a great clustering example. The data analysis make senses. However, if I had the same data set, I would run PCA / factor analysis with focus on the grade on each subjects.</p>",,http://eric.ed.gov/?id=EJ933686,,data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZMQEP4H,bookSection,2016,"Hanneman, R.A.; Riddle, M.",Chapter 1: Social Network Data,Introduction to Social Network Methods,,,,http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html,,1/18/16,9/13/16 16:07,9/13/16 16:07,1/18/16 20:17,,,,,,,,,,,,,,,,,,,,,,"<p>I would never get the social network concept if I just read this chapter. It did talk about the nodes, relations, and network models. It might need more visualization while explaining these concepts.</p> <p>&nbsp;</p>",,http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QE6R3TAR,journalArticle,2012,"Greller, Wolfgang; Drachsler, Hendrik",Translating Learning into Numbers: A Generic Framework for Learning Analytics,Journal of Educational Technology & Society,,1176-3647,,http://www.jstor.org/stable/jeductechsoci.15.3.42,"ABSTRACT With the increase in available educational data, it is expected that Learning Analytics will become a powerful means to inform and support learners, teachers and their institutions in better understanding and predicting personal learning needs and performance. However, the processes and requirements behind the beneficial application of Learning and Knowledge Analytics as well as the consequences for learning and teaching are still far from being understood. In this paper, we explore the key dimensions of Learning Analytics (LA), the critical problem zones, and some potential dangers to the beneficial exploitation of educational data. We propose and discuss a generic design framework that can act as a useful guide for setting up Learning Analytics services in support of educational practice and learner guidance, in quality assurance, curriculum development, and in improving teacher effectiveness and efficiency. Furthermore, the presented article intends to inform about soft barriers and limitations of Learning Analytics. We identify the required skills and competences that make meaningful use of Learning Analytics data possible to overcome gaps in interpretation literacy among educational stakeholders. We also discuss privacy and ethical issues and suggest ways in which these issues can be addressed through policy guidelines and best practice examples.",2012,9/13/16 16:07,9/13/16 16:07,9/3/16 18:55,42-57,,3,15,,Journal of Educational Technology & Society,Translating Learning into Numbers,,,,,,,,,,,,JSTOR,,,<p>LA framwork</p> <p>LA should consider 6 perspectives in order to be a good LA system</p> <p>Stakeholders</p> <p>objective</p> <p>data</p> <p>intruments</p> <p>external limitations</p> <p>internal limitation</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCRTJRW7,webpage,2016,"Weinersmith, Zach",Saturday Morning Breakfast Cereal,,,,,http://www.smbc-comics.com/index.php?id=3978,,1/5/16,9/13/16 16:07,9/13/16 16:07,1/18/16 18:17,,,,,,,,,,,,,,,,,,,,,,"<p><span style=""color: #292f33; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 26px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 300; letter-spacing: 0.26px; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: pre-wrap; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #f5f8fa; display: inline !important; float: none;"">""Clock"" could be placed with any subjects. It would be great if the kids choose which clock training they want<strong>. <span style=""color: #292f33; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 26px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 300; letter-spacing: 0.26px; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: pre-wrap; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #f5f8fa; display: inline !important; float: none;"">Why no causal or positive relation? In terms of experiment, clock score is a moderator but not mediator for academic performance</span>.</strong></span><a class=""twitter-hashtag pretty-link js-nav"" style=""background: #f5f8fa; color: #0084b4; text-decoration: none; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 26px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 300; letter-spacing: 0.26px; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: pre-wrap; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px;"" dir=""ltr"" href=""https://twitter.com/hashtag/tcla16?src=hash""><strong style=""font-weight: 300; color: #0084b4;""></strong></a></p>",,http://www.smbc-comics.com/index.php?id=3978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWU22XM7,videoRecording,2015,Georgia Tech,Feature Selection,,,,,https://www.youtube.com/watch?v=8CpRLplmdqE,,2/23/15,9/13/16 16:07,9/13/16 16:07,1/18/16 19:18,,,,,,,,,,,,Youtube,,,,,,,,,,<p>understand your data better and apply some algorithms in order to identify which subset of features are important.</p> <p>knowledge discovery (interpretability and insight)</p> <p>cause of dimensionality</p> <p>&nbsp;</p>,,https://www.youtube.com/watch?v=8CpRLplmdqE,,,,,,,,,,,,,,,Udacity,,,,,,,,3:13,,,,,,,,,,,,,,,,,,,,,,,,,
V3QEQSBP,conferencePaper,2014,"Clow, Doug",Data wranglers: human interpreters to help close the feedback loop,Proceedings of the Fourth International Conference on Learning Analytics And Knowledge,,,,,,2014,9/13/16 16:07,9/13/16 16:07,,49â€“53,,,,,,,,,,,ACM,,,,,,,,,,"<p>The role of data wranglers are to translate the theory to practice, acting as human sense-makers, facilitate action on feedback, make sense of what feedback means and how to improve data, help develop the use of learning analytics.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTAWTPHB,book,2014,"Baker, R",Big Data in Education,,,,,,,2014,9/13/16 16:07,9/13/16 16:07,,,,,,,,,,,,,,"New York, NY",,,,,,,,,"<p>Dr. Baker talked about visualization (scatter plots, heat map, )<br />1. learning curve<br />2. knowledge tracing: cognitive tutoring system<br />3. power law of learning<br />4. algorithm: degenerate models or appropriate model<br />5. state space diagram (complete characteristic logic system)<br /><br />I still have questions about the graph of ""two skills treated as the same skill"" why the second peak come up and why it goes down later in the learning curve? why these two skills could not display in 2 graphs for their individual learning curves?</p> <p>&nbsp;</p>",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
